trip_id,start_time,end_time,headway_secs,exact_times
R01WSP004,06:21:00,20:09:00,720,1
R01WSP005,20:09:00,20:33:00,720,1
R01WSP006,20:45:00,21:45:00,1200,1
R01WSP007,22:01:00,23:41:00,1200,1
R01WSL004,21:26:00,23:06:00,1200,1
R01WSL001,04:16:00,05:56:00,1200,1
R01WSL002,06:08:00,19:44:00,720,1
R01WSL003,19:56:00,21:08:00,720,1
R51WSP007,16:00:00,20:21:00,1200,1
R51WSP006,09:00:00,15:41:00,1200,0
R51WSP004,06:20:00,08:21:00,1200,1
R51WSP003,05:44:00,06:25:00,1200,1
R51WSP002,04:54:00,05:35:00,1200,1
R51WSP009,23:45:00,24:16:00,1200,1
R51WSP008,21:04:00,23:05:00,1200,1
