shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S001E,45.439834,12.317849,1,
S001E,45.439086,12.318953,2,
S001E,45.438905,12.319876,3,
S001E,45.439237,12.320489,4,
S001E,45.440201,12.321226,5,
S001E,45.441149,12.322742,6,
S001E,45.441785,12.324444,7,
S001E,45.441815,12.325088,8,
S001E,45.442086,12.325452,9,
S001E,45.442406,12.32785,10,
S001E,45.442447,12.328822,11,
S001E,45.441725,12.33079,12,
S001E,45.440594,12.333953,13,
S001E,45.439366,12.335297,14,
S001E,45.439052,12.335967,15,
S001E,45.438435,12.336176,16,
S001E,45.437765,12.335612,17,
S001E,45.437544,12.335584,18,
S001E,45.436785,12.333175,19,
S001E,45.43559,12.330356,20,
S001E,45.435196,12.327907,21,
S001E,45.434626,12.327126,22,
S001E,45.433273,12.327119,23,
S001E,45.431618,12.328693,24,
S001E,45.431256,12.331101,25,
S001E,45.431447,12.332641,26,
S001E,45.431153,12.334372,27,
S001E,45.432171,12.337502,28,
S001E,45.433352,12.342013,29,
S001E,45.432762,12.348558,30,
S001E,45.430323,12.351474,31,
S001E,45.429754,12.355,32,
S001E,45.428546,12.35526,33,
S001E,45.426076,12.358158,34,
S001E,45.425319,12.360789,35,
S001E,45.417347,12.367904,36,
S001D,45.439834,12.317849,1,
S001D,45.439086,12.318953,2,
S001D,45.438905,12.319876,3,
S001D,45.439237,12.320489,4,
S001D,45.440201,12.321226,5,
S001D,45.441149,12.322742,6,
S001D,45.441785,12.324444,7,
S001D,45.441815,12.325088,8,
S001D,45.442086,12.325452,9,
S001D,45.442406,12.32785,10,
S001D,45.442447,12.328822,11,
S001D,45.441725,12.33079,12,
S001D,45.440594,12.333953,13,
S001D,45.439366,12.335297,14,
S001D,45.439052,12.335967,15,
S001D,45.438435,12.336176,16,
S001D,45.437765,12.335612,17,
S001D,45.437024,12.334769,18,
S001D,45.436785,12.333175,19,
S001D,45.43559,12.330356,20,
S001D,45.435196,12.327907,21,
S001D,45.434626,12.327126,22,
S001D,45.433273,12.327119,23,
S001D,45.431618,12.328693,24,
S001D,45.431256,12.331101,25,
S001D,45.431447,12.332641,26,
S001D,45.431153,12.334372,27,
S001D,45.432171,12.337502,28,
S001D,45.433352,12.342013,29,
S001D,45.432762,12.348558,30,
S001D,45.430323,12.351474,31,
S001D,45.429754,12.355,32,
S001D,45.428546,12.35526,33,
S001D,45.426076,12.358158,34,
S001D,45.425319,12.360789,35,
S001D,45.417347,12.367904,36,
S001G,45.417347,12.367904,1,
S001G,45.425319,12.360789,2,
S001G,45.426076,12.358158,3,
S001G,45.428546,12.35526,4,
S001G,45.429754,12.355,5,
S001G,45.430323,12.351474,6,
S001G,45.432762,12.348558,7,
S001G,45.433399,12.342222,8,
S001G,45.432171,12.337502,9,
S001G,45.431153,12.334372,10,
S001G,45.431447,12.332641,11,
S001G,45.431256,12.331101,12,
S001G,45.431618,12.328693,13,
S001G,45.433273,12.327119,14,
S001G,45.434626,12.327126,15,
S001G,45.435196,12.327907,16,
S001G,45.43559,12.330356,17,
S001G,45.436785,12.333175,18,
S001G,45.437376,12.335415,19,
S001G,45.437765,12.335612,20,
S001G,45.438435,12.336176,21,
S001G,45.439052,12.335967,22,
S001G,45.439366,12.335297,23,
S001G,45.440594,12.333953,24,
S001G,45.441725,12.33079,25,
S001G,45.442447,12.328822,26,
S001G,45.442406,12.32785,27,
S001G,45.442086,12.325452,28,
S001G,45.441815,12.325088,29,
S001G,45.441785,12.324444,30,
S001G,45.441149,12.322742,31,
S001G,45.440376,12.321403,32,
S001G,45.439237,12.320489,33,
S001G,45.438905,12.319876,34,
S001G,45.439086,12.318953,35,
S001G,45.439396,12.318466,36,
S001F,45.417347,12.367904,1,
S001F,45.425319,12.360789,2,
S001F,45.426076,12.358158,3,
S001F,45.428546,12.35526,4,
S001F,45.429754,12.355,5,
S001F,45.430323,12.351474,6,
S001F,45.432762,12.348558,7,
S001F,45.433399,12.342222,8,
S001F,45.432171,12.337502,9,
S001F,45.431153,12.334372,10,
S001F,45.431447,12.332641,11,
S001F,45.431256,12.331101,12,
S001F,45.431618,12.328693,13,
S001F,45.433273,12.327119,14,
S001F,45.434626,12.327126,15,
S001F,45.435196,12.327907,16,
S001F,45.43559,12.330356,17,
S001F,45.436785,12.333175,18,
S001F,45.437024,12.334769,19,
S001F,45.437765,12.335612,20,
S001F,45.438435,12.336176,21,
S001F,45.439052,12.335967,22,
S001F,45.439366,12.335297,23,
S001F,45.440594,12.333953,24,
S001F,45.441725,12.33079,25,
S001F,45.442447,12.328822,26,
S001F,45.442406,12.32785,27,
S001F,45.442086,12.325452,28,
S001F,45.441815,12.325088,29,
S001F,45.441785,12.324444,30,
S001F,45.441149,12.322742,31,
S001F,45.440376,12.321403,32,
S001F,45.439237,12.320489,33,
S001F,45.438905,12.319876,34,
S001F,45.439086,12.318953,35,
S001F,45.439396,12.318466,36,
S001A,45.433352,12.342013,1,
S001A,45.432762,12.348558,2,
S001A,45.430323,12.351474,3,
S001A,45.429754,12.355,4,
S001A,45.428546,12.35526,5,
S001A,45.426076,12.358158,6,
S001A,45.425319,12.360789,7,
S001A,45.417347,12.367904,8,
S001C,45.435196,12.327907,1,
S001C,45.434626,12.327126,2,
S001C,45.433273,12.327119,3,
S001C,45.431618,12.328693,4,
S001C,45.431256,12.331101,5,
S001C,45.431447,12.332641,6,
S001C,45.431153,12.334372,7,
S001C,45.432171,12.337502,8,
S001C,45.433352,12.342013,9,
