trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R01WSP001,5:34:00,5:34:00,17F,1,,
R01WSP001,5:37:00,5:37:00,18A,2,,
R01WSP001,5:40:00,5:40:00,19A,3,,
R01WSP001,5:44:00,5:44:00,20A,4,,
R01WSP001,5:49:00,5:49:00,21D,5,,
R01WSP002,5:01:00,5:01:00,01B,1,,
R01WSP002,5:04:00,5:04:00,02E,2,,
R01WSP002,5:07:00,5:07:00,03A,3,,
R01WSP002,5:10:00,5:10:00,04A,4,,
R01WSP002,5:12:00,5:12:00,05A,5,,
R01WSP002,5:14:00,5:14:00,06A,6,,
R01WSP002,5:17:00,5:17:00,07A,7,,
R01WSP002,5:20:00,5:20:00,08A,8,,
R01WSP002,5:23:00,5:23:00,09A,9,,
R01WSP002,5:25:00,5:25:00,10A,10,,
R01WSP002,5:27:00,5:27:00,11A,11,,
R01WSP002,5:30:00,5:30:00,12A,12,,
R01WSP002,5:32:00,5:32:00,13A,13,,
R01WSP002,5:35:00,5:35:00,14A,14,,
R01WSP002,5:37:00,5:37:00,15A,15,,
R01WSP002,5:40:00,5:40:00,16A,16,,
R01WSP002,5:44:00,5:44:00,17F,17,,
R01WSP002,5:47:00,5:47:00,18A,18,,
R01WSP002,5:50:00,5:50:00,19A,19,,
R01WSP002,5:54:00,5:54:00,20A,20,,
R01WSP002,5:59:00,5:59:00,21D,21,,
R01WSP003,6:37:00,6:37:00,11A,1,,
R01WSP003,6:40:00,6:40:00,12A,2,,
R01WSP003,6:42:00,6:42:00,13A,3,,
R01WSP003,6:45:00,6:45:00,14A,4,,
R01WSP003,6:47:00,6:47:00,15A,5,,
R01WSP003,6:50:00,6:50:00,16A,6,,
R01WSP003,6:54:00,6:54:00,17F,7,,
R01WSP003,6:57:00,6:57:00,18A,8,,
R01WSP003,7:00:00,7:00:00,19A,9,,
R01WSP003,7:04:00,7:04:00,20A,10,,
R01WSP003,7:09:00,7:09:00,21D,11,,
R01WSP004,6:21:00,6:21:00,01A,1,,
R01WSP004,6:24:00,6:24:00,02E,2,,
R01WSP004,6:27:00,6:27:00,03A,3,,
R01WSP004,6:30:00,6:30:00,04A,4,,
R01WSP004,6:32:00,6:32:00,05A,5,,
R01WSP004,6:35:00,6:35:00,06A,6,,
R01WSP004,6:38:00,6:38:00,07A,7,,
R01WSP004,6:43:00,6:43:00,08A,8,,
R01WSP004,6:46:00,6:46:00,09A,9,,
R01WSP004,6:48:00,6:48:00,10A,10,,
R01WSP004,6:51:00,6:51:00,11A,11,,
R01WSP004,6:54:00,6:54:00,12A,12,,
R01WSP004,6:56:00,6:56:00,13A,13,,
R01WSP004,6:59:00,6:59:00,14A,14,,
R01WSP004,7:01:00,7:01:00,15A,15,,
R01WSP004,7:05:00,7:05:00,16A,16,,
R01WSP004,7:10:00,7:10:00,17F,17,,
R01WSP004,7:14:00,7:14:00,18A,18,,
R01WSP004,7:18:00,7:18:00,19A,19,,
R01WSP004,7:21:00,7:21:00,20A,20,,
R01WSP004,7:26:00,7:26:00,21D,21,,
R01WSP005,20:09:00,20:09:00,01A,1,,
R01WSP005,20:12:00,20:12:00,02E,2,,
R01WSP005,20:15:00,20:15:00,03A,3,,
R01WSP005,20:18:00,20:18:00,04A,4,,
R01WSP005,20:20:00,20:20:00,05A,5,,
R01WSP005,20:23:00,20:23:00,06A,6,,
R01WSP005,20:26:00,20:26:00,07A,7,,
R01WSP005,20:31:00,20:31:00,08C,8,,
R01WSP005,20:34:00,20:34:00,09A,9,,
R01WSP005,20:36:00,20:36:00,10A,10,,
R01WSP005,20:39:00,20:39:00,11A,11,,
R01WSP005,20:42:00,20:42:00,12A,12,,
R01WSP005,20:44:00,20:44:00,13A,13,,
R01WSP005,20:47:00,20:47:00,14A,14,,
R01WSP005,20:49:00,20:49:00,15A,15,,
R01WSP005,20:53:00,20:53:00,16A,16,,
R01WSP005,20:58:00,20:58:00,17F,17,,
R01WSP005,21:02:00,21:02:00,18A,18,,
R01WSP005,21:06:00,21:06:00,19A,19,,
R01WSP005,21:09:00,21:09:00,20A,20,,
R01WSP005,21:14:00,21:14:00,21D,21,,
R01WSP006,20:45:00,20:45:00,01A,1,,
R01WSP006,20:48:00,20:48:00,02E,2,,
R01WSP006,20:51:00,20:51:00,03A,3,,
R01WSP006,20:54:00,20:54:00,04A,4,,
R01WSP006,20:56:00,20:56:00,05A,5,,
R01WSP006,20:59:00,20:59:00,06A,6,,
R01WSP006,21:02:00,21:02:00,07A,7,,
R01WSP006,21:07:00,21:07:00,08C,8,,
R01WSP006,21:10:00,21:10:00,09A,9,,
R01WSP006,21:12:00,21:12:00,10A,10,,
R01WSP006,21:15:00,21:15:00,11A,11,,
R01WSP006,21:18:00,21:18:00,12A,12,,
R01WSP006,21:20:00,21:20:00,13A,13,,
R01WSP006,21:23:00,21:23:00,14A,14,,
R01WSP006,21:25:00,21:25:00,15A,15,,
R01WSP006,21:29:00,21:29:00,16A,16,,
R01WSP006,21:34:00,21:34:00,17F,17,,
R01WSP006,21:38:00,21:38:00,18A,18,,
R01WSP006,21:42:00,21:42:00,19A,19,,
R01WSP006,21:45:00,21:45:00,20A,20,,
R01WSP006,21:50:00,21:50:00,21D,21,,
R01WSP007,22:01:00,22:01:00,01A,1,,
R01WSP007,22:04:00,22:04:00,02E,2,,
R01WSP007,22:07:00,22:07:00,03A,3,,
R01WSP007,22:10:00,22:10:00,04A,4,,
R01WSP007,22:12:00,22:12:00,05A,5,,
R01WSP007,22:14:00,22:14:00,06A,6,,
R01WSP007,22:17:00,22:17:00,07A,7,,
R01WSP007,22:20:00,22:20:00,08C,8,,
R01WSP007,22:23:00,22:23:00,09A,9,,
R01WSP007,22:25:00,22:25:00,10A,10,,
R01WSP007,22:27:00,22:27:00,11A,11,,
R01WSP007,22:30:00,22:30:00,12A,12,,
R01WSP007,22:32:00,22:32:00,13A,13,,
R01WSP007,22:35:00,22:35:00,14A,14,,
R01WSP007,22:37:00,22:37:00,15A,15,,
R01WSP007,22:40:00,22:40:00,16A,16,,
R01WSP007,22:44:00,22:44:00,17F,17,,
R01WSP007,22:47:00,22:47:00,18A,18,,
R01WSP007,22:50:00,22:50:00,19A,19,,
R01WSP007,22:54:00,22:54:00,20A,20,,
R01WSP007,22:59:00,22:59:00,21D,21,,
R01WSL001,4:16:00,4:16:00,21D,1,,
R01WSL001,4:21:00,4:21:00,20A,2,,
R01WSL001,4:25:00,4:25:00,19A,3,,
R01WSL001,4:28:00,4:28:00,18A,4,,
R01WSL001,4:31:00,4:31:00,17E,5,,
R01WSL001,4:35:00,4:35:00,16A,6,,
R01WSL001,4:38:00,4:38:00,15A,7,,
R01WSL001,4:40:00,4:40:00,14A,8,,
R01WSL001,4:43:00,4:43:00,13A,9,,
R01WSL001,4:45:00,4:45:00,12A,10,,
R01WSL001,4:48:00,4:48:00,11A,11,,
R01WSL001,4:50:00,4:50:00,10A,12,,
R01WSL001,4:52:00,4:52:00,09A,13,,
R01WSL001,4:55:00,4:55:00,08A,14,,
R01WSL001,4:58:00,4:58:00,07A,15,,
R01WSL001,5:01:00,5:01:00,06A,16,,
R01WSL001,5:04:00,5:04:00,05A,17,,
R01WSL001,5:06:00,5:06:00,04A,18,,
R01WSL001,5:08:00,5:08:00,03A,19,,
R01WSL001,5:11:00,5:11:00,02D,20,,
R01WSL001,5:14:00,5:14:00,01C,21,,
R01WSL002,6:08:00,6:08:00,21D,1,,
R01WSL002,6:13:00,6:13:00,20A,2,,
R01WSL002,6:17:00,6:17:00,19A,3,,
R01WSL002,6:20:00,6:20:00,18A,4,,
